,nickname,created,review
47,권오찬,2020.11.20 22:14,"역시 다르시네요.
폭넓은 시각이 훌륭하십니다."
48,박지혜,2020.11.20 20:35,재밌네요 잘들었습니다
49,문지윤,2020.11.20 18:40,또다시 생각의 폭이 넓어지는군요 잘들었습니다
50,최대은,2020.11.20 18:10,필력도 한물 가고 오디오뷔 성우가 더 망쳐놨다 
51,이재숙,2020.11.20 18:05,잘봤습니다
52,유진선,2020.11.20 13:57,바이러스를 데이터로 포지셔닝하고 반도체.IT기술로 대응하자는 패러다임이 신박합니다. 무엇보다 여러의미의 약자를 소외시키지 않고 동행해야 한다는 작가님 생각에 동의합니다. 
53,보문산고릴라,2020.11.20 12:52,그분깨서 시러하겠는대
54,은작,2020.11.18 21:25,"저번 적품에 별 한개 드렸는데 왜자꾸 추천으로 ㅠ저는 
문체와 위트가 중요해서 이분의 작품은 저랑 안맞아요.. "
55,번창하세요~^^♡♡,2020.11.18 06:44,기대된다~~
56,박장규 Retrun to,2020.11.18 00:20,"김진명 작가님 찐 팬입니다.
며칠전 책 주문해서 읽다가 혹시해서 들어와 봤는데 올라와 있네요~
이제 쉽게 책을접할 수 있겠어요"
57,임동희,2020.11.17 23:23,궁금
58,Jung Ji Hyuk,2020.11.17 12:51,글자전쟁은 언제녹음해요
59,제이,2020.11.17 12:05,와우 너무 좋아하는 진명 작가님 11/20일 기다릴게요
60,김명윤,2020.11.17 11:57,김진명작가님 작품은 항상 기다려집니다. 3일만 더 기다리면 되겠네요^^
61,Kang,2020.11.30 05:03,필력도 필력이지만 성우분들의 합이 최고!!!♡
62,이지혜,2020.11.29 07:06,진짜 재밌어요.대단한 스토리텔러~~^^
63,한현배,2020.11.28 21:24,진짜통쾌짜릿재밌네요
64,이은혜,2020.11.27 19:54,너무 재미있었어요^^성우님들도 최고!
65,김현숙,2020.11.27 18:48,간만에 재미있는 소설 발견
66,김기정,2020.11.26 22:34,너무너무 오랜만에 최고의 소설을 들었네요
67,hwajin.lee,2020.11.26 19:09,이케이도 준 소설은 역시 재미있네요. 성우님들 연기 대단합니다.
68,잠꼬대,2020.11.26 09:07,"역시 이케이도 준!!!!
희망없는 시대의 작은 불씨같은 소설이에요
이 작가의 엔딩은 늘 사랑스럽네요 ㅎㅎ"
69,이양원,2020.11.25 21:18,지금 회사 생활이 힘들고 재미없는 분들께 추천드려요. 오랜만에 느껴지는 직장생활에서의 가슴 뭉클함...
70,김영준(아르페디엠),2020.11.25 00:18,어디서든 부조리와 적대는 있어왔고 주인공의 해결 능력은 운이든 살력이든 중소가업을 키워가는 모습이 빨려드는 흡입력이 있네요. 
71,조은빛,2020.11.24 12:32,진짜 재미있게 잘 들었습니다!!
72,임채호,2020.11.23 16:52,몰입도 굿~~
73,안지현,2020.11.22 16:30,역시 이케이도 준. 실망시키지 않네요. 너무 재미있었어요
74,황해순,2020.11.22 09:29,몰입도 최고
75,전우석,2020.11.21 22:20,최고다!
76,코딩앤플레이 거제통영고성 지사,2020.11.21 20:20,듣자마자 그대로 완독!!
77,Philip,2020.11.21 19:01,단숨에 끝까지 듣게 만드는 필력. 빈틈없는 구성.  성우의 나레이션도 돋보인다.
78,k.hm,2020.11.21 16:50,4.8
79,김동준,2020.11.20 17:17,이번 주말의 파트너는 변두리 로켓으로 픽!!!
80,박윤수,2020.11.19 09:15,"개인적으로 한자와 나오키를 뛰어넘는다고 생각합니다. 박력있는 한자와는 분명히 매력적인 캐릭터이지만, 말 그대로 너무 주인공스러운 반면, 이 작품의 캐릭터들은 캐릭터 한명, 한명이 현실적인 고민을 안은채 서로 엮여지는 캐미가 상당합니다. 또한 중소기업이 뛰어난 원천기술을 갖게될 경우 무슨 일이 벌어질수 있는가 너무나 섬세하게 묘사되서 정말 많은 영감을 받았네요! 강추!!"
81,박재훈,2020.11.17 19:11,루즈벨트 게임의 잔잔한 감동이 있네요 역시 재밌게 감상했습니다
82,이희산,2020.11.16 15:33,"한자와 나오키, 루스벨트 게임 같은 감동 기대하며 선댓글 후감상하겠습니다! "
83,김은솔,2020.11.16 13:31,"드라마 미생 생각나기도 하고, 직장인이라면 대부분 공감할 내용입니다"
84,허문선,2020.11.16 11:58,기다렸던 작품! 목소리도 좋으시고 내용이 귀에 쏙쏙 잘 들어와서 긴 분량도 부담없이 들을 수 있을 것 같아요. 
85,이미화,2020.11.16 10:56,"한자와 나오키와 비교해 몰입도가 떨어지네요.
오디오북이라는게 활자를 직접읽지 않아도되는 장점과 그만큼 성우의 기량이 책 전반의 재미를 좌우한다는 단점이있네요. 책 전반이 대화로 이루어져있는데다 다양한 인물이 등장하는데  같은 목소리의 같은 어투로 녹음을 하셔서인지 쉽게 집중하기가 힘들었어요 3장까지 듣다 포기합니다 ㅜㅜ
"
86,은작,2020.11.28 20:14,약 파는..
87,SH 승희,2020.11.27 16:13,작가님 너무 훌륭하신분 같아요 책 감동입니다^^♡
88,Sera Jo,2020.11.26 14:08,"주역을 오래 공부하시고 코칭 경력도 어마어마하셔서 뭔가 진지하게 구체적인 사례들을 토대로 해서 주역의 내용들이 많이 나올거라 기대했는데,,,, 내용은 좋았으나 좀 에세이 집같은 부담없이 읽기 좋은 정도였어요..... "
89,keeeun,2020.11.24 15:12,끝까지 잘 들었습니다. 안좋은 운을 가졌다고 좌절하거나 좋은 운을 가졌다고 거만해지지않게 마음다잡기에 좋은 책인것같아요. 전체적으로 오디오질도 좋았습니다 :)
90,일청,2020.11.23 17:17,어디서 약을 팔어
91,0,2020.11.22 12:31,"현실을 지배하는 마케팅의 힘
어떠한 검증된 실체도 없습니다. 다만, 책이 그렇다고 할뿐. 판단은 개인의 몫이지만 혹여
작가에게 연락해서 컨설팅까지 받으려는 
우를 범하지 않으실까 염려되어 한줄 남깁니다. 또한 구독순위 올라오는 로직이 어떤것인지 의문이 들기 시작하네요. 독자를 위한 윌라가 되었으면 하는 바램입니다."
92,뀨냥냥,2020.11.22 00:26,성우분 딕션도 좋아서 귀에 쏙쏙들어오고  목소리도 너무너무 좋네요 ^^
93,조현주,2020.11.21 09:07,나의 기운을 올릴수 있도록 북돋아주는 책이네요
94,이준완,2020.11.21 08:41,"음...완독후 제가느끼기에는 작가님한테 컨설팅받으라고오라는말로들렷어요
약간점보러오라고하는식?  그렇게들려요
"
95,kiho Kim,2020.11.21 08:22,성우목소리좋다^^
96,미가인,2020.11.20 13:40,내용은 별개없는데 성우분 목소리가 귀에 쏙쏙들어오네요
97,김나리,2020.11.20 10:32,"이 책을 듣다보니,, 이제야  트럼프의 성공들이 이해가 가네요~ ㅎㅎ 운은 선과 악을 구분하지 못한다.. 아주 흥미로워요! "
98,정성희,2020.11.19 19:46,"그동안 마음만 있었지 책을 읽기가 쉽지 않더라구요
요번에 큰맘먹고 구독결정했어요
돈 아까워서라도 듣지 않을까해서요
오래된 비빌은  듣고 너무 내용이 와닿아 벌써 두번이나 들었습니다"
99,유진,2020.11.19 17:21,"네이버에 더해빙 사이비라고 쳐보세요... 
저만 그렇게 생각한건 아니더라고요..."
100,선녀님,2020.11.19 13:07,이서윤님 책을 윌라에서 너무 기다리고있었는데 메인에서 딱 보게되어 듣는내내 마음이 풍요로워지고 기뻐지고 ~ 있음에서 행운까지 얻게되는 기쁨입니다 감사합니다 ♡
101,ㄱ barbie & mom,2020.11.18 19:28,해빙은 안나오나요~
102,suhamam,2020.11.18 06:16,내용과 성우목소리가 너무 잘어울리네요
103,강선희,2020.11.17 19:18,"운의 원리라는게 흥미로워서 듣기 시작했는데
성우님 낭독이 넘 좋아서 빠져 듣고 있습니다 
목소리가 듣기 편하고 발음이 쏙쏙 들어오네요 "
104,rany,2020.11.16 19:57,성우 중에서도 목소리 단연 좋으세요 내용이 쏙쏙 잘 들어오네요
105,은지허,2020.11.16 16:27,이 성우님이 자기계발 서적들 전부 읽어주셨으면 합니다ㅠㅠㅠ 너무 좋아요
106,이성욱,2020.11.16 04:29,완전감동입니다~
107,Olívia,2020.11.14 23:25,"편안하게 들을 수 있고
여기서 나오는대로 마음을 내어야겠다는 생각을 하게 되네요^^"
108,최대은,2020.11.14 17:19,책 내용대로면 이서윤씨는 4대 성인을 넘어서는 거의 신인거네요
109,조윤주,2020.11.09 08:29,잘 들었습니다. 성우님 목소리 좋아요.^^
110,연문행,2020.11.07 12:47,"이책 지금읽고있는데,, 헐~  오디오로? "
111,TayKim,2020.11.29 20:28,가히 최고다......!!!!!!! 너무도 심플한 제목에 깃든 어마어마한 대서사. 
112,국화,2020.11.27 17:34,책읽기힘들었눈대 너무 좋아요~~~~♡♡
113,송이,2020.11.27 00:18,역시 재밌는 베르나르 베르베르의 책이었습니다.
114,Philip,2020.11.21 19:03,아이디어는 참신했지만 중반이 넘어서면서 이야기가 산으로 흐르고 용두사미가 된듯.
115,,2020.11.21 16:46,어렵다
116,박경애,2020.11.20 15:23,1권을 틈틈이 듣다보니 정리가 안되어 집중하여 다시듣고. 2권은 하루에 끝냈어요. 넘 재미있네요. 상상력이 무궁무진한듯.  
117,채정희,2020.11.20 09:35,오래도록 기억될 작품이네요!! 영화소재로도 좋을듯 해요!
118,김상민,2020.11.19 21:02,"엔딩에서 소름이 돋았다.
오랫만에 기억에 남는 책이 되었다."
119,정주영,2020.11.19 16:08,"르네의 행동이 좀 모자라게 느껴진다
상식적인 사고와는 다른 결정이 보여 글을 듣는데 너무 답답했다
억지로 짜맞추고 질질 끌려는 느낌이 좀 많은 책이다"
120,김용현,2020.11.18 17:28,너무 흥미롭고 재미있습니다
121,sy,2020.11.14 21:56,소재도 흥미롭고 영화보다 더 재밌다...아직 2편 감상중이지만 요 며칠동안 장면을 상상하는 즐거움에 빠져서 끝나가는 게 아쉬울정도다 ㅜㅜ 
122,RH,2020.11.13 21:04,긴장감 있고 흥미로운 소설이네요! 성우들 연기도 훌륭하네요~
123,이창복,2020.11.12 13:31,성우분들 목소리 연기가 최고네요. 시간 가는줄 모르고 재미있게 들었습니다.
124,박광우,2020.11.12 12:59,"바쁘다는 핑계로 독서를 가까이하지 못했던 내게 독서의 즐가움을 준 베르베르의 오랜만의 소설이네요. 
잘 들었고, 덕분에 잘 읽었습니다. ^^"
125,조은빛,2020.11.12 08:36,시간가는 줄 모르고 재미있게 들었습니다.
126,Pandastic,2020.11.10 22:41,너무 흥미진진합니다. 성우들의 연기가 더욱 몰입감을 안겨줍니다.
127,박찬우,2020.11.10 19:45,한편의 영화를 보듯 재미나게 들었습니다. 성우분들 애쓰셨습니다.
128,으니쌤,2020.11.09 22:00,푹 빠져서 들었어요 재밌게 낭독해 주신분들께 감사드려요^^
129,이 선 미,2020.11.09 21:46,"미루던 매일의 운동을 가능하게 해준 건 윌라덕분입니다
지루하지 않은 1시간입니다"
130,정말 행복했을까?,2020.11.08 17:53,"내가 평소에 관심을 갖고 있던 전생에 대한 이야기여서 시간 가는 줄 모르고 소설 속 주인공이 된 듯 착각할 정도로 몰입하고 들었다.

그의 다른 책들도 들어봐야겠다."
131,이선희,2020.11.08 14:57,"재밌어요
탄탄한 내용도좋고 상상력도 풍부해져요"
132,김소연,2020.11.08 10:08,생각보다 나쁘지 않은 결말이었습니다.
133,박지혜,2020.11.07 21:13,너무 재밌었습니다
134,이정희,2020.11.07 12:35,시간 가는줄 몰랐어요   좋아요
135,박수빈,2020.11.06 19:54,내용이 흥미로워서 재밌게 잘 들었습니다
136,김영국,2020.11.06 05:34,"파피용,제3인류 결국은 천지창조와 연결이 되는거 같네요. 작가의 책을 읽다보니 연관성이 있어서 큰퍼즐중 을 하니씩 끼워 맞추는거같네요"
137,최낙경,2020.11.05 18:05,재미지내요
138,상우민우준우맘,2020.11.05 11:09,읽는내내 다음 페이지가 궁금할 정도로 흥미있었어요
139,연문행,2020.11.05 00:58,"그러지않을까했더니, 결론이^^  잘들었어요. 23시23분. 작가의 상상이 곧현실로,,대단"
140,두피링,2020.11.04 22:23,배타고 섬탈출하더니 내용도 이상한대로 탈출해버리네 너무재미없음 최악의 시리즈물
141,홍성곤,2020.11.04 12:50,1권의 첫전투글은 영화속 화면을 보는듯 아님 실제 내경험인듯 했네요..압권
142,박병주,2020.11.04 09:54,"더있을줄 알았는데 너무 빨리 끝난느낌적인 느낌이..
ㅠㅠ"
143,박선미,2020.11.03 23:22,"이번 기억1,2 도 모두 기대 이상이었어요 성우들의 연기가 가미되어 상상이 훨씬 구체적인 형상화가 이루어져 매 화 몰입력이 상당합니다
여운이 짙은 마지막 장면까지 걸작입니다^^
윌라의 컨텐츠에 대만족입니다^^"
144,정호섭,2020.11.03 19:45,마지막에 진한 여운이 남는.. 잼나게 잘 들었니다!
145,박재훈,2020.11.03 16:13,역시 베르나르 베르베르 네요~ 항상 기대를 져버맂 않습니다. 성우님들의 멋진 낭송으로 몰립감도 아주 좋습니다 
146,김희수,2020.11.03 15:23,"입원중에 누워서 들었는데 성우들 연기너무 좋아 상상하며 들었네요 ㅎㅎ  내용도 역시 너무 좋구요~^^

베르나르 베르베르작품 더 많이 올라왔음 좋겠습니다

출퇴근 길에도 사용하기 좋아 그동안 멀리했던 책 다시 가까워 질거 같아요 ㅎㅎ감사합니다!!"
147,김연실,2020.11.02 23:57,마지막이 조금....그래도 환생이란 흥미로운 주제여서 그런지 재미있게 들었습니다
148,김태희,2020.11.02 23:43,귀에쏙쏙~~흥미진진합니다
149,김성현,2020.11.02 19:27,설정붕괴가 엄청나네요
150,김영옥,2020.11.02 18:29,너무 재미있게 들었습니다~ 영화로 제작됬으면 좋겠습니다 ~
151,임종민,2020.11.30 14:18,코로나시대에 대한 미래 예측에 많이 배웠습니다.
152,쭌스,2020.11.27 13:24,부자가 될 수 있는 방법에 대한 명쾌한 답
153,홍현민,2020.11.26 18:26,"부에 다가갈 방법, 그러면서도 주의해야할 사항을 정말 쉽게 설명하고 있습니다"
154,장진희,2020.11.26 06:38,Good.
155,최현식,2020.11.24 12:16,지금의 상황을 이해하는데 많은 도움이 됐습니다
156,김동준,2020.11.20 17:22,김작가TV에서 만난 박종훈 기자님의 부의 골든타임~~ 책과 달리 오디오북은 어떨지 기대됩니다^^
157,joy,2020.11.20 16:30,이번 주말 완독이 목표인데 가능할까요?__? 일단 찜하고 갑니당 
158,Don @ Songdo,2020.11.18 20:09,"""부의 골든타임""은 오디오북으로 만난 첫 책이었는데 거시경제의 관점에서 코로나시대에 돈의 흐름과 투자전략을 쉽게 이해할 수 있어서 매우 유익했습니다.

특히 미국 중앙은행의 통화정책의 역사와 비하인드 스토리 그리고 글로벌 경제에 대한 흐름을 이해하는데 큰 도움이 되었고 특히 코로나로 인한 2020년의 경제변화와 금융시장에 미친 영향에 대한 설명은 경제에 무지했던 저의 눈을 뜨이게 했습니다. 최근 주식투자를 하면서 경제와 사회 그리고 투자종목 회사에 대한 관심이 생기고 있었던 때라 이책과의 만남은 시의적절했습니다.

이 책을 읽으면서 실물경제는 최악인 상황에서도 부동산과 주식시장(특히 미국증시)은 호황인 이상한 경제상황을 이해하는데 큰 도움이 되었고 코로나로 인해 경제타격이 심각한 상황에서 앞으로 어떤 투자전략을 세워야하는지에 대한 통찰력을 조금 갖게 되었습니다.

과거 경제분석 이론과 모델로는 현재와 미래 경제현상을 완벽하게 해석할수 없지만 반복되는 경제 호황과 불황 그리고 그에 따른 중앙은행들의 금리정책, 신경제로 발전하면서 생겨나는 복잡해 보이는 금융상품들과 암호화화폐에 이르기까지, 뭔가 기회가 있을거라 생각이 들었습니다. 게다가 코로나로 인해 기존 산업들이 퇴보하고 신산업들의 발전이 가속되는걸 보면서 이 변화의 흐름을 탈수만 있으면 부의 재분배의 유리한 고지에 오를수 있는 기회가 보이기 시작했습니다. 

이 책을 읽고나서 제 얕은 지식과 나름대로의 분석 그리고 직감을 믿고 투자와 신사업을 추진했습니다. 올초에 깨달았더라면 배 이상 투자수익과 사업성과를 냈을것 같지만 제 상황에 가장 맞게 가장 적절한 타이밍에 시작했다고 믿습니다. 
"
159,YongMin,2020.11.14 23:48,지금 시국에 들어볼만한 책이긴한데 경제용어가 좀 어렵습니다
160,Hyunchang Shin,2020.11.08 19:39,잘 들어보겠습니다
161,제퍼,2020.11.07 08:06,요즘 시국에 필요한 책인거같아 일단 들어 볼께요.
162,참비,2020.11.04 08:05,누구나 이미 벌어진 사건에 대해 진단하는건 쉽다
163,김민성,2020.11.03 17:23,그래서 지금이 부의 골든타임이라는 건지. 제목과 내용이 잘 매칭이 안됨. 제목만 그럴싸함. 
164,kiho Kim,2020.11.03 01:13,잘들을게요^^
165,미향이~♡,2020.11.02 18:09,"불안한 심기에 도움 될것같네요
읽어봐야겠어요"
166,성현욱,2020.11.02 15:27,관심있던 신간이라 일단 들어봅니당
167,유진선,2020.10.30 15:02,오늘부터 찬찬히 들어봐야 겠어요~
168,한서은,2020.10.30 12:07,이제 제태크 시작하는데 너무 좋은 오디오북이에요!! 오디오북으로 들으니 귀에 쏙쏙 너무좋다..
169,백영덕,2020.10.30 11:35,신간 베스트셀러가 바로 업데이트 되었네요!! 잘 듣겠습니다^^
170,이희산,2020.10.30 08:12,연준(미국)으로부터 시작된다고 볼 수 있는 세계경제 흐름을 잘 설명해주면서 지금껏 경험하지 못한 코로나19 시대에 현명한 투자처를 찾을 수 있는 방법을 자세하게 설명하고 있는 책이네요. 마지막까지 잘 들어보겠습니다. 
171,한승국 (AQUA LAND),2020.11.30 21:16,재미있네요 시간가는줄 모르고 듣고있습니다
172,forever,2020.11.30 00:53,"재미있어요!!!!! 추천!!!!!!
은근 몰입하게 된다! "
173,TayKim,2020.11.29 04:24,베르베르 진심 천재다 ㄷ ㄷ ㄷ ㄷ ㄷ ㄷ
174,김서윤,2020.11.29 00:25,종이책으로 사놓고 포기했었는데 오디오북으로 완독했네요 별점이 의미가 없어요 베르나르 소설을 전문 성우들의 명연기로 듣는데 재미 없을 수가 없잖아요~~ 
175,은작,2020.11.28 19:45,제가 싫어하능 작가인데 자꾸 개인추천해주셔서.. 별 한개 기입하고 갑니다. 
176,sancycat,2020.11.28 09:52,"푹 빠져서 들었습니다
2권으로 넘어갑니다~"
177,James,2020.11.28 06:43,유명해서 들어봤지만 실망
178,김인성,2020.11.25 03:47,"정말 책이 연기를 시작했네요
첨엔 어색했는데 자꾸 빠져들어요
오디오북은 처음이였는데 계속 이용하게 될듯
베르나르 베르베르의 책은 늘 흥미롭네요"
179,미숙,2020.11.20 20:04,스토리도 좋고 성우분 덕분에 몰입도 최고네요!!
180,김상민,2020.11.19 21:01,오디오북 첫 작품이 기억이라서 정말 다행입니다.
181,김용현,2020.11.18 17:29,너무 흥미롭고 재미있습니다
182,경혜☆,2020.11.17 20:44,너무 재밌어요 베르나르 소설은 상상력이 정말 최고에요 시간가는줄 모르게 재밌었습니다
183,란,2020.11.17 19:29,"정말 몰입하며 듣고 있는데 재미있어요
아쉬운 점은 ""네, 내"" 발음이 구별 안 되요
"
184,최성규,2020.11.17 14:07,처음 읽어보는데 되게 재미있었어요.  성우분들 덕에 몰입도 장난아니네요.
185,효진,2020.11.16 00:22,자기전에 듣다가 주인공 잠 들때 같이 잠 들었어요 
186,이승현,2020.11.15 20:06,이렇게 들으니 먼가 새롭네요
187,배영주,2020.11.14 23:12,최고에요
188,채,2020.11.14 10:05,"좋았습니다. 출퇴근할때 듣고 책 이어서 읽고 그렇게 완독후 다시 책을 다시 보니 이해가 빠르고 재밌어집니다.
책 읽는게 듣는것보다는 훨씬 빠르긴 하지만 시간 활용에 좋고 기억.죽음 모두 너무 성우님들 맘에 듭니다.
다른 베르나르 베르베르님 작품들도 빨리 서비스되면 좋겠네요 ^^"
189,김완희,2020.11.13 00:45,"인생 첫 오디오 북인데, 성우분들의 열연에 깊이 빠져들게 됩니다. 너무 재밌어요!"
190,박찬실,2020.11.11 18:15,1.2권까지 단숨에 읽은 느낌 재미있었습니다. 내용도 한번쯤 생각했을 것이지만 이렇게 글로 풀어내는 능력이 놀랍네요
191,편원범,2020.11.11 16:25,네가 내가 너무 헷갈려요
192,김연광,2020.11.11 13:14,점점 몰입되어 갑니다. 성우분들의 노고에 감사드려요
193,Pandastic,2020.11.10 22:41,너무 흥미진진합니다. 성우들의 연기가 더욱 몰입감을 안겨줍니다.
194,이주영,2020.11.10 20:49,지루하다가 재밌어지네요
195,안준철,2020.11.10 18:48,내용이 시시합니다.
196,정경숙,2020.11.10 18:02,재미있게 잘 들었어요 노안이 와서 책읽기가 예전만 못한데 윌라덕분에 넘 잘들었어요. 집에서 가부좌하고 계단을 내려가 전생의 문을 열고싶네요
197,최혜진,2020.11.09 12:20,"책으로 읽고 오디오북으로 들어요.
연극을 보는거마냥 재미있네요^^"
198,정말 행복했을까?,2020.11.08 18:02,"프랑스 사람이라고 느끼는 건 배경이 프랑스라는 것 밖에 느낄수 없을 정도로 몰입했다.
"
