,nickname,created,review,title,author,voice
16,진진,2020-11-14 17:48,정말 재밌네요 감사합니다,28,정유정,김연아 외 4인
17,book****,2020-11-14 15:51,2013년도에 발간된 책... 코로나로 비슷한 상황같있지만 그 외의 모든 대응이 현실이 더 아름다워 감사하며 봤네요....,28,정유정,김연아 외 4인
18,pichola3,2020-11-14 12:22,"제목을 이십팔으로 읽는게 더 바람직했을텐데 아쉽습니다. 작가가 인터뷰에서 28이 전염병이 번지는 시기 즉 28일이 적절해서 붙였다고 밝혔지만, 이십팔에서 어감상 느끼는 욕설도 의도한 바가 있다고 했거든요.",28,정유정,김연아 외 4인
19,쏠라,2020-11-14 08:19,눈으로 읽은 책을 귀로 다시 듣는 기쁨을 주셔서 감사합니다.,28,정유정,김연아 외 4인
0,레몬소다,2020-11-22 23:40,너무 많은 인물들이 죽어서 슬프네요 개들과 다시 설원을 달리는 해피 엔딩이되길바랬는데 ㅠㅠ,28,정유정,김연아 외 4인
1,심,2020-11-21 01:28,오디오북을 쭉 이용해 보니 좋아하는 작품을 다시읽기 참 좋더라구요. 그래서 성우님이 나에게 잘 맞는게 중요함을 매번 느낍니다.많은 오디오 북을 들었는데 성우님들 정말 좋았어요작품을 실감나게 만들어 주셨습니다!이제 성우님들 이름도 번역자처럼 살펴보게 됩니다,28,정유정,김연아 외 4인
2,진진,2020-11-18 09:14,처음엔 재밌어으나 들으면 들을수록 마음이 아파요. 이세상에서 언젠가는 벌어질일이라고 생각하니... 실제 같은 씁쓸함 무엇.. 잔인쓰ㅠㅠ,28,정유정,김연아 외 4인
3,CharmingMI,2020-11-16 23:20,주말동안 다 못들어서 결국 대여했다능 ......이미 책으로 읽었지만 오디오북으로 들으니 또 새롭네요,28,정유정,김연아 외 4인
4,wbkkkk,2020-11-16 01:44,예전에 출간되자마자 책으로 읽었었는데이렇게 귀로 들으니깐 더 흡입력이 좋은거 같아요.2일동안 틈틈이 듣다가... 결국 대여해서...다시 처음부터 또 듣고 있어요.성우님들 최고. 정유정 작가님은 언제나 최고.,28,정유정,김연아 외 4인
5,박성준,2020-11-15 23:38,12시가 되기 전에 다 듣느라 전력질주 한 기분입니다 . 좋은 작품 감사합니다,28,정유정,김연아 외 4인
6,o21c****,2020-11-15 23:09,7년 전에 이런 소설이 있었군요.주말 내내 이야기 잘 들었습니다.,28,정유정,김연아 외 4인
7,푸리,2020-11-15 23:05,너무 흥미진진해서 정지를 누를 수 없었던 이틀이었어요.스토리와 성우님들의 연기에 영화 한 편을 보는 듯 했습니다.문형진성우님 목소리 쏘스윗~,28,정유정,김연아 외 4인
8,좋좋아하니까,2020-11-15 23:02,흡입력 장난 아니에요. 정말 재밌게 잘 들었어요. 서재영 이 바람같은 사람 ㅜㅜ..,28,정유정,김연아 외 4인
9,빅시스터,2020-11-15 22:27,완전~재미있었어요!!!!! 내용이 궁금해서 멈출 수가 없어서 어제  오늘 방콕하며 완청했어요. 근데 밖을 보니 밤이 됐네요ㅜㅜ  그래도 정말 최고였어요♡,28,정유정,김연아 외 4인
10,ss9,2020-11-15 22:05,역시 정유정 작가님 소설이구나! 에 성우분들의 실감나는 연기와 목소리로 이틀을 꼬박 소설속에서 함께 있는것 같았습니다. 오디오북클럽에도 감사드려요.,28,정유정,김연아 외 4인
11,Next Frontier,2020-11-15 19:49,"와.. 스토리도 좋지만, 읽어주시는 성우분 목소리도 좋아서 몰입감이 최고입니다. 이틀에 걸쳐 잘 들었습니다. 좋은 작품 감사합니다.",28,정유정,김연아 외 4인
12,긍정미소,2020-11-15 16:32,바이러스로 고립되고 의도적 소통단절로 고통을 겪는 화양시 시민들을 보면서 광주의 아픔이 오버랩되어 너무나 안타깝게 느껴졌습니다.ㅠㅠ,28,정유정,김연아 외 4인
13,xhfhfhxh,2020-11-15 15:44,2-1.2장에 나오는 애기 목소리 너무 징그러워요 ㅠㅠ 가만히 듣다가 호러인줄 깜짝 ㅠㅠ,28,정유정,김연아 외 4인
14,좋좋아하니까,2020-11-15 13:52,동해! 이자식!! 과장은 애를 왜 저렇게 키워서 남에게 피해를 주는지 소설인데도 너무 화가 나요.,28,정유정,김연아 외 4인
15,곰돌,2020-11-14 19:44,목소리가 너무 좋아요,28,정유정,김연아 외 4인
16,진진,2020-11-14 17:48,정말 재밌네요 감사합니다,28,정유정,김연아 외 4인
17,book****,2020-11-14 15:51,2013년도에 발간된 책... 코로나로 비슷한 상황같있지만 그 외의 모든 대응이 현실이 더 아름다워 감사하며 봤네요....,28,정유정,김연아 외 4인
18,pichola3,2020-11-14 12:22,"제목을 이십팔으로 읽는게 더 바람직했을텐데 아쉽습니다. 작가가 인터뷰에서 28이 전염병이 번지는 시기 즉 28일이 적절해서 붙였다고 밝혔지만, 이십팔에서 어감상 느끼는 욕설도 의도한 바가 있다고 했거든요.",28,정유정,김연아 외 4인
19,쏠라,2020-11-14 08:19,눈으로 읽은 책을 귀로 다시 듣는 기쁨을 주셔서 감사합니다.,28,정유정,김연아 외 4인
0,태양,6일 전,늘 고마운 책이네요^^,나는 왜 네 말이 힘들까,박재연,박재연
1,기린맘,2020-11-20 08:02,책을 볼 때와 또 다른 감동이있어요~~^^책이 눈 앞에 펼쳐져 다시 찾아보고 공부가돼요.시간을 아껴쓰는 좋은 방법이라 영구소장해요.,나는 왜 네 말이 힘들까,박재연,박재연
2,구름이2,2020-11-19 22:04,세번 들었어요~ 한번 더 듣고 잘까봐요도움주셔서 감사해요~~!!,나는 왜 네 말이 힘들까,박재연,박재연
3,SweetClara,2020-11-19 21:57,,나는 왜 네 말이 힘들까,박재연,박재연
4,보나드래곤,2020-11-19 11:52,오디오 북으로 듣다보니 글자로 소장하여 여러번 보고 싶네요. 고맙습니다.,나는 왜 네 말이 힘들까,박재연,박재연
5,진진,2020-11-19 11:39,어쩜 목소리도 이렇게 고우실까요. 닮고싶고 배우고 싶습니다. 책 잘들을게요 !! 제가 처음으로 사본 오디오북입니다 ~,나는 왜 네 말이 힘들까,박재연,박재연
6,자목련,2020-11-19 00:31,시간이 많이 흘렀는데 선생님 목소리는 여전히 처음 그대로인것같습니다 ᆞ 집중해서 들어봅니다 ~,나는 왜 네 말이 힘들까,박재연,박재연
0,helen,2020-11-10 00:28,"와우, 듣고 바로 정리했습니다...",최고의 인테리어는 정리입니다,정희숙,이주은
1,fresh,2020-11-10 00:09,유익한 내용 정말 잘 들었습니다.내일부터 조금씩 실천해보려구요.과감히 버리기가 쉽지 않겠지만제 삶에 활력과 생기를 찾기 위해 해보려구요좋은 내용 들을수있어서 좋았어요감사합니다!,최고의 인테리어는 정리입니다,정희숙,이주은
2,krystal,2020-11-09 22:57,들으면서 정리하려고 몸이 들썩여지는 책입니다 :),최고의 인테리어는 정리입니다,정희숙,이주은
3,술이야,2020-11-09 15:33,최고의 정리는 부지런함입니다..,최고의 인테리어는 정리입니다,정희숙,이주은
4,이오늘,2020-11-09 12:48,목소리가 너무 좋아요편안하게 잘 들었어요😊,최고의 인테리어는 정리입니다,정희숙,이주은
5,햇,2020-11-09 00:32,제가 과거에 집착한 이유가 집정리가 안 되서 맘 정리도 안 됐나봐여..치우고 싶지만 건들고 싶지 않더라구요 ..그게 마음이랑 연관되는거네요 ㅎㅎ,최고의 인테리어는 정리입니다,정희숙,이주은
0,팡찌니,2020-11-18 16:06,"짧은 몇마디로 심금을 울리는 이나님 목소리, 글. 그동안 나 많이 힘들었구나 위로가 되는 시간. 맞아맞아 공감하는 시간. 별 생각없이 그냥 이나님이 좋아서 선택한 오디오북. 듣고 있는 나 칭찬해.  책도 사야겠어요.",보통의 언어들,김이나,김이나
1,은밤,2020-10-24 13:17,김이나 목소리 좋다. 먼가 차가우면서 살짝 따듯한 뜨거운 아이스크림 같은.,보통의 언어들,김이나,김이나
2,2020 서울국제도서전,2020-10-17 14:56,대박대박,보통의 언어들,김이나,김이나
3,kwonyang,2020-10-08 09:58,단어들에 대해 한번씩  더 생각해보게 되었어요~ 무심코 흘려듣는 단어들에 예쁜 의미를 더해주는 작가님의 생각이 사랑스럽습니다. 잘들었습니다.,보통의 언어들,김이나,김이나
4,사자,2020-10-07 23:56,라디오듣는 것 같아요 좋네요,보통의 언어들,김이나,김이나
5,구르미,2020-10-07 11:25,라디오 듣는것 처럼 편하게 들었습니다. 너무 좋네요^^,보통의 언어들,김이나,김이나
6,레이맘,2020-09-09 13:53,김이나씨 목소리들으면서 편안함을 느껴요..오디오북 사길 잘한듯. 근데 축약본이라 책의 내용이 다 담긴게 아니네요 전부 들었으면 좋겠는데..,보통의 언어들,김이나,김이나
7,츄바카,2020-09-05 01:25,김이나님 목소리도 너무 좋으시고 자주 쓰는 단어들에 대해 다시한번 생각해보는 계기가 되었습니다 ㅎㅎ,보통의 언어들,김이나,김이나
8,나는,2020-09-01 04:10,9월 저의 첫 책입니다~,보통의 언어들,김이나,김이나
9,lovely j,2020-08-22 01:13,"듣다가 책도 샀어요,",보통의 언어들,김이나,김이나
10,뽑,2020-08-16 07:03,돈아깝다 ... 이게뭐야나도 쓰겠네,보통의 언어들,김이나,김이나
11,아만,2020-08-04 19:14,언어에 대해 말에 대해 그다지 깊게 생각하신 것 같지는 않아 보입니다. 이런 내용도 책으로 만들어준다는 걸 알았으니 저도 책한권 써야 겠습니다. 이거 들을 시간에 유투브에서 조던 피터슨 영상 찾아보고 듣고 생각해보고 실천해보는게 나을 것 같습니다. 그냥 듣기 좋으라고 읽기 좋으리고 쓴 글 같은 느낌을 지우기 힘드네요.,보통의 언어들,김이나,김이나
12,mong****,2020-08-03 18:08,너무 좋아요Ｏ(≧▽≦)Ｏ 자기전에 한번씩 듣고싶어집니다☺️,보통의 언어들,김이나,김이나
13,페드로,2020-08-01 12:16,좀 돈 아깝네요 이 책을 듣는 제 자신이 이해가 안가네요,보통의 언어들,김이나,김이나
14,문파이,2020-07-23 17:18,좋아요,보통의 언어들,김이나,김이나
15,기쁨의 예배자,2020-07-20 18:29,📚 샀는데 듣는게 편한듯,보통의 언어들,김이나,김이나
16,보리꾸리,2020-07-10 02:39,책 좋아요,보통의 언어들,김이나,김이나
17,갱이,2020-07-07 23:22,좋다... 다듣고 책 사야겠어요^^,보통의 언어들,김이나,김이나
18,진정환,2020-07-03 18:07,너무좋아요~~ 책을 다읽고 작사가님이 낭독해주시는거라 결제했습니다 살면서 당연하게 생각해온 언어들에대해 다시금 소중함을 깨닫게 해주셔서 감사합니다,보통의 언어들,김이나,김이나
19,내곁에당신,2020-06-28 15:07,어느날 ... 문득...아주 우연한 기회에..평소라면 지나쳤을만한 글이 눈에 띄어 .. 무심히 듣게된 이야기에 어느새 집중을 하고... 40 이후와 이전의 숫자에 누군가의 이야기가 내 이야기가 된듯  공감하며... 나 역시...누군가를 위해 삶의 지혜를 이야기 해준다는 건... 참 좋은거 같습니다,보통의 언어들,김이나,김이나
0,보리건빵,5일 전,"이런저런 생각이 꼬리를 물어 머리속이 복잡해 잠이 비집고 들어올 틈이 없을때에 들으면 참 좋습니다. ""하성란이 고쳐쓰고 김태리가 읽은 이상의 날개"" 이 구절이 들리는 순간 차분해지고 혼잡하던 것들이 명료하게 정리되는 기분이 들어요. '이 사람 목소리가 퍽 듣기 좋구나'하며 홀린듯 이야기를 따라가다 보면 어느 새 잠이 듭니다. 그 시대의 어투나 요즘은 생소한 단어... 그 생경한 느낌이 현실의 고민들을 내려놓게 하는지도 모르겠습니다. 오늘도 그 힘을 빌려야겠네요. 이걸 읽어주신 모든 분들 행복하세요 저도 행복하겠습니다.","날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
1,팡찌니,2020-11-19 10:22,태리님 목소리 좋은 건 알고 있었지만 왘 진짜 넘 잘 들었어요!,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
2,정담비,2020-11-17 23:07,어어어어ㅓ어어ㅓ언니.............................ㅜㅜ 목소리 너무 흡입력 있어요ㅜㅜㅜㅜㅜㅜㅜ 아아아ㅏ아아ㅜㅜ,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
3,조현수,2020-11-10 23:44,애기씨가 불러주는거같아서 좋아요ㅜㅜㅠ 꿀떨어지네요,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
4,nnnnmmm,2020-11-09 02:06,들어본 오디오북 중에 몰입도 제일 좋아요..👍 다른 책들도 많이 해주세요!!,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
5,이미래,2020-10-29 09:55,"김태리님 덕분에 오디오북 입문했어요ㅠㅠ 영화,드라마랑은 또다른 매력입니다! 김태리님 목소리로 근대소설을 들을 수 있는 것은 정말 큰 행운같아요 ㅠ","날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
6,박지은,2020-10-24 23:23,진짜 너무너무 좋아요ㅜㅜㅜㅠㅠㅠ단편 낭독 더 해주시면 좋겠어요ㅠ 태리배우님 사랑합니다ㅠS2,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
7,추웡,2020-10-23 01:50,저 신세계에 입문한 것 같은데요.. 와 이거 뭐지 와,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
8,Jw,2020-10-19 02:47,날개는 리커버북과 다른 분위기와 또다른 매력이 있어서 들을때 마다 감탄이 나와요  👍👍,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
9,Jun2353,2020-10-18 02:07,진짜 다른책들도 해주셨으면 좋겠어요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!스크린과 안방에서 보는 배우님도 좋지만목소리가 너무 매혹적이라 영상매체에서만 한정적으로 보는상황에계속 다 돌려보았지만 영상을 못볼때는 갈증을 느꼈었는데이 갈증을 리커버북이 채워주고있는거 같아서너무 행복해요 김태리배우느님 잘들을께요 증마루ㅜ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
10,세네모,2020-10-16 23:58,요 일주일 내내 들으며 잠들고 있어요. 수면장애로 잠들기 힘들어하는데 1시간 내 듣고있으면 잠으로 스르르 빠집니다.. 단편낭독 더 많이 해주시면 좋겠다는 바람.. 제 평생의 잠메이트로 함께해주세요,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
11,감식이,2020-10-15 23:34,사랑해요  애기씨 .. 목소리들으니 좋구려,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
12,고은서,2020-10-13 18:21,처음으로 오디오북 구매해봤어요!! 잘 들을게요 ♥,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
13,강혜연,2020-10-08 13:04,와..,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
14,코난,2020-10-06 21:51,목소리에 힘이 있고 듣기에 불편함이 없으며 글자를 보지 않아도 글이 머리에 그려진다. 개인적으로 김태리 배우님 목소리를 너무 좋아하는 사람으로서 감동이네요. 읽어 주셔서 정말 감사합니다.,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
15,주현,2020-10-05 20:29,악 ㅠ,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
16,마엘,2020-10-04 13:26,미친 거 같아요 너무 좋아요... 여러권 더 읽어주세요....,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
17,sho7****,2020-10-04 05:00,애신 애기씨의 목소리가 다시 듣고싶어서 결제했네요ㅜㅜ 너무 좋아요♥,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
18,fara****,2020-10-02 17:57,고애신 같아요 너무 좋아 진짜ㅠㅠㅠㅠㅠ미챴어,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
19,안녕,2020-09-29 12:12,다운로드 받은 파일은 오디오북 앱 들어와야만 쓸 수있나요? 파일 다운로드가 아닌가보네요? 컴퓨터 소장은 안되는거죠?,"날개 (RESOUND 단편, 김태리 낭독)",이상,김태리
0,손글씨,2020-11-06 10:09,"장점이자 단점이겠지만 저자가 낭독을 하는경우 낭독을 전문으로 하는 분은 아니라서 듣기에 또렷하게 들리지는 않아 아쉬웠습니다. 표준어로 교정된 경상도 방언의 느낌이  들구요, 그냥 보통의 강연녹음같은 느낌입니다. 내용은 아이를 키우는 부모가 아니더라도 도움이 됩니다.",공부머리 독서법,최승필,최승필
1,푸르매,2020-11-04 08:40,조금더 일찍 이책을 읽었더라면 전집을 들이지 않았을 것이다. 코로나 시작되며 전집을 들이고 패드 북클*을 시작했다. 책을 좋아하던 아이는 전집을 들이고 책장을 보지 않았고 패드로 영상만 본다.. 아차한 순간이다 싶고 이책을 알고 느끼는바가 많다.,공부머리 독서법,최승필,최승필
2,tlrh****,2020-09-15 08:34,이 책을 아이키울 때 봤더라면 좋았을텐데 하는 아쉬움이 듭니다. 그러나 아이키우는 엄마한테 도움을 줄 수 있을 것 같아요. 결혼적령기에 들어성 우리 딸이 결혼해 아이를 낳으면 할머니로서 좋은 영향을 줄 수 있을테니 그것으로 만족하렵니다.,공부머리 독서법,최승필,최승필
3,힐,2020-09-11 18:20,책으로 소장하고 자식 키우면서 두고두고 볼 예정입니다!!주변에도 추천하려구요~,공부머리 독서법,최승필,최승필
4,김윤호,2020-08-23 08:19,,공부머리 독서법,최승필,최승필
5,잘먹고잘살자,2020-06-30 12:34,이제 알았으니 실천이다~,공부머리 독서법,최승필,최승필
6,가위바위보,2020-06-02 09:43,"오디오클립 라이브티켓 구매하면서 오디오북도 함께 결제했는데, 구매한 오디오북 목록에 뜨지 않아 들을 수가 없습니다. 처리해 주시기 바랍니다.",공부머리 독서법,최승필,최승필
7,체리블러썸,2020-05-19 20:38,"책을 읽어 봤는데, 독서와 입시의 상관관계를 다시 한 번 깨닫네요. 간략하고 재미있게(글에 나오는 아이들 사례가 좋았습니다.) 알려주셔서 감사합니다.",공부머리 독서법,최승필,최승필
8,오종욱,2020-05-18 18:00,,공부머리 독서법,최승필,최승필
9,오종욱,2020-05-18 17:59,감동,공부머리 독서법,최승필,최승필
10,오종욱,2020-03-26 17:43,,공부머리 독서법,최승필,최승필
11,류이엘,2020-02-15 21:20,책으로 읽은지 오래되어 다시 듣고서노란책에서도 다시 결제하게 되었네요^^;;초등고학년이지만 그래도 다시 노력해보려고요~좋은 책 감사해요,공부머리 독서법,최승필,최승필
12,디톡스다이어트코치,2020-02-07 10:52,책 전체가 아니고 요약본인가요ㅡㅜ?,공부머리 독서법,최승필,최승필
13,나비,2019-12-16 10:34,^^  이글을 듣고 독서의 중요성을 다시 생각하게 됐었습니다.~정말 감사합니다.,공부머리 독서법,최승필,최승필
14,세오니모,2019-12-16 01:01,우와~~ 목소리 너무 좋으신듯~~ 들으면서 많은 생각을 하게 됐어요~~ 재미있는 책으로 정독하기 새겨 듣겠습니다~~,공부머리 독서법,최승필,최승필
15,에밀리,2019-12-13 11:20,책으로 읽었는데 반복독서 하려니 짬이 안나 출퇴근시간에 계속 들을려고 구매했어요~작가님께서 직접 녹음하셔서 그런지 강의 듣는 기분이네요머릿속 마음속에 꼭꼭 새겨두고 우리 아이들에게 빛이 되고 싶네요♡,공부머리 독서법,최승필,최승필
16,sing****,2019-12-08 21:07,"너무 잘 들었습니다.. 목소리가 좋아서 더 잘 들었는데 작가님 목소리였군요^^ 6살 아이 둔 엄마로서 독서의 중요성을 알면서도 잘 실천되지 않았던 부분들이 많았는데, 독서를 최우선으로 둘 것! 전집이 아닌 도서관에서 책을 고르게 할 것! 재미있는 책부터! 우선 이 세 가지부터 실천해 보도록 해볼께요~^^ 감사합니다~~",공부머리 독서법,최승필,최승필
17,댕갱이,2019-12-05 21:01,목소리가 편히 들을 수 있어 좋았습니다:),공부머리 독서법,최승필,최승필
18,명태전 코난,2019-11-28 19:36,정말 잘 들었습니다...고맙습니다..,공부머리 독서법,최승필,최승필
19,레오니다스,2019-11-18 08:16,너무 잘듣고있어요 작가님 낭독이군요,공부머리 독서법,최승필,최승필
0,나의별,3일 전,화가나요,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
1,suny****,6일 전,김승호 회장님께 깊은 감사를 드립니다. 경제적 자유를 꿈꾸며 실행하도록 하겠습니다. 감동적으로 낭독해주신 성우분께도 진심으로 감사합니다.,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
2,지 현,2020-11-17 16:18,다른 오디오북을 들어보니 이 성우분이 얼마나 잘 하는지를 알것같아요. 짧은 챕터가 여러개라 지루하지도 않고 책 내용도 막상 들을때는 시큰둥했던 내용들이 나중엔 계속 곱씹게 되고 오래오래 기억에 남더라구요. 주변에 추천하고 다닌답니다.,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
3,0218,2020-11-15 21:47,성우분이 정말 찰떡이다ㅋㅋㅋㅋㅋㅋ 예시로 들어주는 질문에 영혼을 실어서 읽어줌... 주식이 오를까요오~??? 아니면 내릴까요!? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 맛깔나요,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
4,그랑죠,2020-10-30 00:22,목소리가 귀에 쏙~쏘~옥 들어와서 좋아요 ㅎㅎ,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
5,ismo****,2020-10-11 22:13,현재 읽는 챕터가 몇 챕터인지 모르겠네.책은 좋은 내용이 많네요. 아는 내영도ㅠ많은데 역시 실천이 제일 중요하죠.,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
6,골방변주곡,2020-10-08 09:40,타임머신 타고가서 25살의 저에게 들려주고 싶습니다. 40살 이지만 열심히 실천해보려 합니다.,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
7,다람쥐,2020-10-05 06:33,정말최고였어요실은책으로읽었었는데잊고지냈었네요오디오북으로읽으니깐 좀더 기억에 오래남는것같아요,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
8,얼음골아낙네,2020-10-04 22:25,잘 들었습니다!!책도 구매해서 와닿았던 내용들 줄치며 다시 읽어봐야겠어요!!!,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
9,panflutist,2020-09-16 04:04,오디오북 처음 구매해서 완독(완청)했는데 매우 만족합니다. 출퇴근길에 듣기 좋네요. 듣고 또 들어야겠어요. 종이책에 친필로 써있는 글귀보며 책 내용을 되새겨봅니다.ㅡ성공으로 가는 위대한 비밀의 규칙은 없다. 성실하고 약속을 잘 지키고 허세를 부리지 않고 친절을 베푸는 것과 같은 작은 비밀이 있을 뿐이다 (김승호 스노우폭스 회장),돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
10,shine2,2020-08-22 10:58,오디오클립앱에서는 구매가 안되고 네이버앱에선 구매가 되네요? 신기하네,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
11,Kali,2020-08-20 15:06,오디오북 처음인데 읽을때보다 집중이 더 잘되서 놀랐습니다. 책 내용 또한 주옥같네요. 종이책 구매도 해야겠어요,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
12,라벤더,2020-08-17 22:56,잘 들었습니다  책 구매해놓고 다른 책에 밀려 못보던 참에 할인 받아 대여한 오디오 북으로 듣고나니 책으로도 다시 읽고 싶어졌습니다,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
13,레몬소다,2020-08-17 18:41,성우분  낭독이 책과 잘 어울려 몰입감 있었고 책내용에서 많이 배웠네요,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
14,그여름을틀어줘,2020-08-15 17:24,먼저 낭독자분 최곱니다. 같이 읽는것 같이 귀에 쏙 들어옵니다.내용은 굉장히 흥미롭습니다. 실제로 사업을 시작하기전에 본다면 더욱 좋을것 같군요.어려운 내용들을 위트있게 표현한것도 좋습니다. 글재주가... 부럽습니다.,돈의 속성 (최상위 부자가 말하는 돈에 대한 모든 것 ),김승호,김정일
